,funded_amnt,addr_state,annual_inc,application_type,dti,earliest_cr_line,emp_length,emp_title,fico_range_high,fico_range_low,grade,home_ownership,id,initial_list_status,installment,int_rate,loan_amnt,mort_acc,open_acc,pub_rec,pub_rec_bankruptcies,purpose,revol_bal,revol_util,sub_grade,term,title,total_acc,verification_status,zip_code,last_pymnt_amnt,num_actv_rev_tl,mo_sin_rcnt_rev_tl_op,mo_sin_old_rev_tl_op,bc_util,bc_open_to_buy,avg_cur_bal,acc_open_past_24mths
1053,24000.0,AR,116250.0,Individual,19.88,Jun-1987,8 years,Vice President,714.0,710.0,A,MORTGAGE,68605991,w,485.61,7.91,24000.0,2.0,13.0,0.0,0.0,debt_consolidation,33832.0,49.3,A5, 60 months,Debt consolidation,20.0,Not Verified,721xx,15236.35,6.0,2.0,342.0,49.3,33868.0,33115.0,6.0
2620,15000.0,CA,55000.0,Individual,16.17,Mar-2011,9 years,mail handler,674.0,670.0,D,RENT,68525067,w,380.66,17.97,15000.0,0.0,6.0,0.0,0.0,debt_consolidation,6099.0,49.6,D4, 60 months,Debt consolidation,8.0,Verified,945xx,380.66,3.0,8.0,48.0,114.7,0.0,6568.0,5.0
8135,16000.0,VA,160000.0,Individual,21.37,Mar-2004,1 year,Senior Consultant,664.0,660.0,C,RENT,67999546,w,535.95,12.59,16000.0,0.0,13.0,0.0,0.0,debt_consolidation,19315.0,97.6,C2, 36 months,Debt consolidation,20.0,Source Verified,221xx,2115.56,6.0,7.0,64.0,97.1,347.0,10604.0,8.0
4214,33000.0,MA,72500.0,Individual,18.19,Mar-2002,9 years,Production Control Manager,664.0,660.0,C,RENT,68503717,w,767.69,13.99,33000.0,3.0,9.0,0.0,0.0,credit_card,25388.0,63.6,C4, 60 months,Credit card refinancing,33.0,Source Verified,019xx,22398.03,4.0,15.0,165.0,89.4,3012.0,4787.0,3.0
8863,3000.0,AR,126000.0,Individual,9.12,Sep-1997,10+ years,Senior manager merchandising ,694.0,690.0,A,MORTGAGE,67809665,w,92.49,6.89,3000.0,4.0,11.0,0.0,0.0,debt_consolidation,7433.0,67.6,A3, 36 months,Debt consolidation,33.0,Source Verified,727xx,1919.44,4.0,63.0,219.0,67.6,3567.0,23472.0,3.0
1751,32400.0,RI,85000.0,Individual,25.92,Oct-2004,10+ years,Firefighter EMT,664.0,660.0,F,RENT,68405879,f,952.7,25.09,32400.0,0.0,12.0,2.0,0.0,debt_consolidation,18875.0,59.0,F4, 60 months,Debt consolidation,33.0,Source Verified,028xx,569.75,8.0,3.0,134.0,88.5,1154.0,3751.0,9.0
9948,6000.0,TX,29000.0,Individual,17.8,Nov-1965,,,674.0,670.0,B,OWN,67958670,w,195.42,10.64,6000.0,0.0,14.0,0.0,0.0,debt_consolidation,7671.0,24.8,B4, 36 months,Debt consolidation,28.0,Source Verified,782xx,5636.83,9.0,5.0,601.0,44.9,3970.0,548.0,2.0
8767,5000.0,FL,63000.0,Individual,15.27,Mar-1988,10+ years,Inspector,689.0,685.0,B,MORTGAGE,67417499,w,157.56,8.38,5000.0,2.0,7.0,0.0,0.0,debt_consolidation,38956.0,44.4,B1, 36 months,Debt consolidation,17.0,Source Verified,331xx,1674.49,3.0,17.0,333.0,97.5,49.0,36691.0,3.0
1196,14425.0,AL,59304.0,Individual,12.93,Sep-2004,10+ years,Operations Analyst,664.0,660.0,D,OWN,68425906,w,521.29,17.97,14425.0,0.0,6.0,0.0,0.0,debt_consolidation,3785.0,54.9,D4, 36 months,Debt consolidation,20.0,Verified,352xx,521.29,4.0,7.0,135.0,54.9,3115.0,5639.0,6.0
1445,11200.0,LA,80000.0,Individual,26.78,Mar-2006,10+ years,Yardnaster,669.0,665.0,B,MORTGAGE,68354346,f,369.23,11.48,11200.0,1.0,6.0,0.0,0.0,debt_consolidation,2518.0,83.9,B5, 36 months,Debt consolidation,23.0,Verified,710xx,369.01,2.0,17.0,117.0,83.9,482.0,38019.0,6.0
5823,15000.0,IL,45000.0,Individual,20.83,Aug-2003,9 years,Account Manager,704.0,700.0,B,MORTGAGE,68262838,f,478.19,9.17,15000.0,1.0,12.0,0.0,0.0,debt_consolidation,10241.0,78.0,B2, 36 months,Debt consolidation,14.0,Verified,600xx,13306.78,8.0,13.0,40.0,85.0,2250.0,10296.0,8.0
3235,16000.0,TX,46000.0,Individual,23.64,Sep-1995,6 years,Parts Dept Manager,679.0,675.0,C,MORTGAGE,67289159,w,553.48,14.85,16000.0,2.0,9.0,1.0,1.0,credit_card,20109.0,71.1,C5, 36 months,Credit card refinancing,27.0,Verified,759xx,571.41,3.0,7.0,185.0,88.4,2531.0,17084.0,8.0
2512,30000.0,CA,160000.0,Individual,17.12,Nov-1995,5 years,SALES MANAGER,779.0,775.0,A,MORTGAGE,68463747,w,933.05,7.49,30000.0,2.0,13.0,0.0,0.0,debt_consolidation,11948.0,25.7,A4, 36 months,Debt consolidation,19.0,Source Verified,922xx,27961.12,7.0,3.0,138.0,22.5,20857.0,60297.0,3.0
6027,16000.0,NJ,130000.0,Individual,10.53,Jun-2008,8 years,Registered nurse,694.0,690.0,B,MORTGAGE,68112936,f,351.73,11.48,16000.0,1.0,15.0,0.0,0.0,debt_consolidation,8481.0,30.5,B5, 60 months,Debt consolidation,19.0,Source Verified,077xx,351.73,9.0,11.0,90.0,33.6,8965.0,24932.0,9.0
3773,15750.0,NC,35000.0,Joint App,48.56,Jun-2002,2 years,Facilities Director,674.0,670.0,D,MORTGAGE,68020006,w,399.69,17.97,15750.0,4.0,14.0,1.0,0.0,credit_card,18149.0,62.6,D4, 60 months,Other,27.0,Source Verified,274xx,15734.54,5.0,4.0,162.0,87.4,2121.0,14414.0,4.0
9047,27500.0,LA,55000.0,Individual,21.69,Apr-2001,10+ years,Respiratory therapist ,774.0,770.0,B,MORTGAGE,67858395,f,593.0,10.64,27500.0,2.0,16.0,0.0,0.0,debt_consolidation,18914.0,20.9,B4, 60 months,Debt consolidation,34.0,Not Verified,711xx,14779.9,4.0,1.0,176.0,28.1,47989.0,7800.0,2.0
8110,10000.0,NY,30000.0,Individual,6.72,Nov-2005,2 years,Medical Assistant,664.0,660.0,C,RENT,66025618,w,332.1,11.99,10000.0,0.0,9.0,0.0,0.0,debt_consolidation,1392.0,4.6,C1, 36 months,Debt consolidation,17.0,Source Verified,112xx,332.11,2.0,3.0,121.0,3.4,26947.0,1353.0,3.0
8160,10000.0,NH,82500.0,Individual,9.65,Mar-2004,1 year,Logistics manager,704.0,700.0,A,MORTGAGE,67889695,w,305.31,6.24,10000.0,5.0,11.0,0.0,0.0,credit_card,7142.0,19.9,A2, 36 months,Credit card refinancing,36.0,Not Verified,038xx,7206.91,2.0,7.0,141.0,21.4,25709.0,44599.0,6.0
8226,16000.0,NJ,160000.0,Individual,8.89,Jan-1999,5 years,Sales,764.0,760.0,B,MORTGAGE,67269157,w,521.1,10.64,16000.0,1.0,6.0,0.0,0.0,other,187.0,2.7,B4, 36 months,Other,12.0,Not Verified,076xx,520.93,1.0,2.0,203.0,2.7,6613.0,50803.0,2.0
5039,12800.0,GA,40000.0,Individual,8.58,Jul-2001,1 year,Plant Operator,689.0,685.0,C,OWN,68232832,w,297.77,13.99,12800.0,0.0,6.0,0.0,0.0,debt_consolidation,6572.0,64.4,C4, 60 months,Debt consolidation,19.0,Source Verified,302xx,8682.13,4.0,14.0,173.0,61.0,3584.0,1725.0,8.0
7368,8000.0,WA,48000.0,Individual,19.85,Aug-1990,10+ years,Probation officer,704.0,700.0,A,RENT,67869846,w,244.25,6.24,8000.0,1.0,12.0,0.0,0.0,credit_card,12068.0,42.8,A2, 36 months,Credit card refinancing,34.0,Not Verified,994xx,215.17,7.0,1.0,304.0,48.8,12042.0,2146.0,7.0
3512,3600.0,NY,98000.0,Individual,32.83,Apr-1992,10+ years,Administrative Public Health Nurse,664.0,660.0,C,RENT,68414384,w,121.1,12.88,3600.0,0.0,26.0,0.0,0.0,moving,42043.0,88.7,C2, 36 months,Moving and relocation,42.0,Verified,112xx,360.83,14.0,12.0,184.0,92.0,2485.0,2984.0,5.0
8922,15000.0,NY,180000.0,Individual,24.87,Jun-2000,10+ years,Director of Technical Operations,779.0,775.0,B,MORTGAGE,67879163,w,488.53,10.64,15000.0,0.0,13.0,0.0,0.0,debt_consolidation,9816.0,16.4,B4, 36 months,Debt consolidation,21.0,Not Verified,110xx,15249.87,4.0,7.0,132.0,17.6,45984.0,7932.0,7.0
5430,33600.0,AR,80000.0,Individual,30.66,May-1999,9 years,Sr. Manufacturing Engineer ,674.0,670.0,E,RENT,68523319,w,888.14,19.89,33600.0,0.0,15.0,0.0,0.0,credit_card,27011.0,74.4,E3, 60 months,Credit card refinancing,26.0,Source Verified,717xx,888.14,4.0,1.0,199.0,91.2,2040.0,5419.0,5.0
1144,8000.0,CA,125000.0,Individual,9.37,Nov-1989,5 years,Relationship Manager,669.0,665.0,B,MORTGAGE,68505908,w,263.74,11.48,8000.0,1.0,17.0,1.0,0.0,home_improvement,26411.0,57.7,B5, 36 months,Home improvement,22.0,Not Verified,900xx,8081.52,10.0,2.0,313.0,81.5,3965.0,28042.0,5.0
5034,10000.0,NV,120000.0,Individual,4.18,Jul-1988,10+ years,Field Service Mechanic,739.0,735.0,A,MORTGAGE,68533500,w,311.02,7.49,10000.0,1.0,12.0,0.0,0.0,other,3546.0,5.1,A4, 36 months,Other,37.0,Not Verified,891xx,9863.66,5.0,3.0,329.0,5.6,52485.0,18001.0,8.0
8596,28000.0,TX,75000.0,Individual,14.46,Apr-2001,5 years,UXO Tech II,719.0,715.0,A,MORTGAGE,67268947,w,876.0,7.89,28000.0,2.0,6.0,0.0,0.0,debt_consolidation,41174.0,74.9,A5, 36 months,Debt consolidation,14.0,Not Verified,789xx,875.92,4.0,39.0,176.0,74.9,13826.0,16710.0,0.0
6940,6000.0,TN,94500.0,Individual,20.77,Mar-2001,< 1 year,Reporting manager,729.0,725.0,A,MORTGAGE,67938338,w,186.61,7.49,6000.0,1.0,27.0,1.0,0.0,credit_card,9282.0,32.0,A4, 36 months,Credit card refinancing,53.0,Not Verified,370xx,2515.38,3.0,2.0,59.0,10.9,14418.0,11315.0,9.0
9492,5000.0,NY,47000.0,Individual,23.75,Jul-2005,9 years,Manager,674.0,670.0,B,RENT,67848959,w,162.85,10.64,5000.0,0.0,14.0,3.0,1.0,debt_consolidation,7043.0,42.9,B4, 36 months,Debt consolidation,21.0,Verified,133xx,162.85,4.0,4.0,112.0,49.6,4792.0,2656.0,8.0
2474,35000.0,TX,150000.0,Individual,23.34,Nov-1983,< 1 year,Faculty,724.0,720.0,A,MORTGAGE,68474813,w,1088.56,7.49,35000.0,2.0,24.0,0.0,0.0,credit_card,38610.0,43.0,A4, 36 months,Credit card refinancing,51.0,Source Verified,782xx,1088.44,16.0,11.0,385.0,56.0,6191.0,16655.0,4.0
6394,7000.0,OH,48000.0,Individual,31.47,Sep-1997,3 years,ROP Planner,694.0,690.0,A,MORTGAGE,68122737,w,219.07,7.91,7000.0,0.0,23.0,1.0,1.0,credit_card,5106.0,32.1,A5, 36 months,Credit card refinancing,48.0,Source Verified,444xx,0.63,7.0,2.0,136.0,46.0,3890.0,3878.0,8.0
1614,11300.0,VT,50250.0,Individual,32.41,Jul-1998,8 years,clerk,679.0,675.0,D,RENT,68586108,w,408.36,17.97,11300.0,0.0,11.0,0.0,0.0,credit_card,26432.0,61.9,D4, 36 months,Credit card refinancing,28.0,Verified,057xx,467.49,7.0,9.0,209.0,65.9,13469.0,3938.0,6.0
3097,10850.0,MA,65000.0,Individual,13.42,Jan-1985,2 years,TCL,699.0,695.0,D,RENT,67989139,w,380.23,15.77,10850.0,0.0,16.0,0.0,0.0,debt_consolidation,12041.0,22.6,D1, 36 months,Debt consolidation,31.0,Source Verified,010xx,6478.97,7.0,6.0,371.0,27.7,31157.0,3099.0,14.0
8954,7050.0,IL,19600.0,Individual,34.72,Oct-2009,4 years,Server,669.0,665.0,C,RENT,68029164,w,242.6,14.48,7050.0,0.0,9.0,0.0,0.0,debt_consolidation,4311.0,82.9,C5, 36 months,Debt consolidation,12.0,Verified,606xx,13.32,2.0,5.0,60.0,95.4,125.0,3451.0,2.0
8486,24000.0,UT,109000.0,Individual,21.16,Aug-2007,6 years,Driller,684.0,680.0,C,RENT,67287787,w,554.35,13.67,24000.0,0.0,10.0,1.0,0.0,debt_consolidation,8214.0,88.3,C4, 60 months,Debt consolidation,22.0,Verified,840xx,1136.42,3.0,27.0,100.0,96.8,170.0,10106.0,5.0
3224,25000.0,VA,75000.0,Individual,38.37,Oct-2004,4 years,wg10 step 3,689.0,685.0,E,MORTGAGE,68434576,w,648.38,18.99,25000.0,0.0,11.0,0.0,0.0,debt_consolidation,7818.0,75.9,E1, 60 months,Debt consolidation,43.0,Verified,236xx,14033.94,4.0,6.0,134.0,48.3,2224.0,7270.0,10.0
5679,20000.0,MD,87000.0,Individual,16.88,Aug-2001,2 years,network engineer ,679.0,675.0,B,RENT,68533142,w,659.33,11.48,20000.0,0.0,9.0,1.0,0.0,credit_card,10184.0,40.3,B5, 36 months,Credit card refinancing,17.0,Source Verified,208xx,331.36,5.0,2.0,172.0,46.1,8144.0,3424.0,6.0
7760,6000.0,CA,86000.0,Individual,17.76,Oct-1996,9 years,production senior lead and cnc programme,739.0,735.0,A,MORTGAGE,67929868,w,187.72,7.89,6000.0,4.0,16.0,0.0,0.0,debt_consolidation,2802.0,4.9,A5, 36 months,Debt consolidation,38.0,Source Verified,906xx,3539.61,5.0,7.0,230.0,4.7,34314.0,19034.0,8.0
7803,35000.0,TX,87000.0,Individual,16.12,Dec-1996,8 years,Compliance Manager,699.0,695.0,C,MORTGAGE,67810078,w,799.59,13.18,35000.0,2.0,12.0,0.0,0.0,other,16811.0,59.6,C3, 60 months,Other,23.0,Source Verified,782xx,22929.5,6.0,2.0,36.0,56.4,8151.0,18067.0,5.0
9927,18000.0,CA,95000.0,Individual,20.5,May-1991,10+ years,Ownee,674.0,670.0,B,RENT,67818736,w,567.22,8.38,18000.0,0.0,25.0,0.0,0.0,credit_card,29252.0,42.7,B1, 36 months,Credit card refinancing,40.0,Not Verified,926xx,107.93,12.0,2.0,295.0,69.6,9245.0,1815.0,4.0
9774,13000.0,FL,38000.0,Individual,14.28,Dec-2007,2 years,First Grade Instructor ,699.0,695.0,B,OWN,67908812,f,409.66,8.38,13000.0,0.0,15.0,0.0,0.0,debt_consolidation,9440.0,38.5,B1, 36 months,Debt consolidation,18.0,Not Verified,346xx,4753.65,5.0,4.0,96.0,20.9,8380.0,1680.0,6.0
2084,15000.0,GA,98000.0,Individual,37.42,May-2003,9 years,RN MSN Clinical Manager,674.0,670.0,C,MORTGAGE,68505171,w,508.6,13.44,15000.0,0.0,35.0,1.0,1.0,debt_consolidation,16873.0,66.0,C3, 36 months,Debt consolidation,58.0,Verified,308xx,508.6,17.0,0.0,133.0,88.0,1396.0,3218.0,15.0
4993,18000.0,FL,50000.0,Individual,14.41,Sep-2006,< 1 year,general manager ,689.0,685.0,E,MORTGAGE,66426007,w,466.84,18.99,18000.0,0.0,20.0,0.0,0.0,other,8384.0,57.0,E1, 60 months,Other,27.0,Source Verified,330xx,3651.85,1.0,5.0,105.0,96.4,316.0,5170.0,8.0
841,28000.0,GA,111000.0,Individual,17.76,Dec-1988,10+ years,Network Engineer,719.0,715.0,A,MORTGAGE,68566108,w,876.26,7.91,28000.0,3.0,9.0,0.0,0.0,debt_consolidation,24758.0,88.1,A5, 36 months,Debt consolidation,21.0,Source Verified,300xx,876.11,5.0,2.0,324.0,89.3,2817.0,18281.0,3.0
5020,30000.0,NY,350000.0,Individual,14.13,Jan-1991,6 years,physician,719.0,715.0,C,MORTGAGE,68353481,w,1017.19,13.44,30000.0,3.0,16.0,0.0,0.0,credit_card,170130.0,64.2,C3, 36 months,Credit card refinancing,37.0,Source Verified,115xx,15852.67,7.0,6.0,299.0,71.4,27730.0,64394.0,5.0
2000,20000.0,MN,65000.0,Individual,10.45,Aug-2001,5 years,Hazardous Materials response Planner,664.0,660.0,F,MORTGAGE,67468931,w,557.51,22.45,20000.0,5.0,13.0,0.0,0.0,debt_consolidation,5525.0,53.1,F1, 60 months,Debt consolidation,22.0,Verified,553xx,557.51,7.0,9.0,172.0,60.9,3437.0,17167.0,12.0
9528,24000.0,CA,96000.0,Individual,14.53,Jun-1988,3 years,RN,704.0,700.0,A,RENT,67888241,w,750.86,7.89,24000.0,3.0,10.0,0.0,0.0,credit_card,16964.0,39.0,A5, 36 months,Credit card refinancing,25.0,Source Verified,937xx,4448.19,5.0,14.0,330.0,62.2,9855.0,3859.0,3.0
1706,13875.0,NY,100000.0,Individual,4.01,Sep-2002,4 years,Bookkeeper/Administrator,729.0,725.0,C,OWN,68384009,w,474.15,13.99,13875.0,0.0,8.0,0.0,0.0,debt_consolidation,11565.0,95.6,C4, 36 months,Debt consolidation,19.0,Source Verified,110xx,1004.38,1.0,11.0,159.0,95.6,535.0,2414.0,3.0
516,12000.0,CA,29500.0,Individual,16.27,Jan-2007,5 years,sales,684.0,680.0,B,RENT,66546659,w,391.62,10.78,12000.0,0.0,8.0,1.0,1.0,debt_consolidation,12710.0,53.4,B4, 36 months,Debt consolidation,10.0,Source Verified,934xx,7918.48,5.0,19.0,107.0,59.8,4338.0,1589.0,3.0
2429,4500.0,TX,44900.0,Individual,30.36,Jan-2010,2 years,Teacher,664.0,660.0,C,OWN,68595105,w,152.58,13.44,4500.0,0.0,16.0,0.0,0.0,credit_card,4823.0,54.8,C3, 36 months,Credit card refinancing,28.0,Source Verified,788xx,1873.7,6.0,5.0,32.0,66.8,2092.0,4488.0,8.0
8655,9000.0,AZ,55120.0,Individual,8.45,Jun-1983,1 year,GIS Analyst,664.0,660.0,B,RENT,67889463,f,289.4,9.76,9000.0,0.0,12.0,2.0,2.0,debt_consolidation,3839.0,18.5,B3, 36 months,Debt consolidation,20.0,Source Verified,857xx,289.05,3.0,1.0,263.0,17.5,15668.0,4748.0,9.0
6697,27000.0,TX,94000.0,Individual,16.09,Oct-2002,2 years,Balvenie Ambassador,669.0,665.0,C,RENT,68262451,w,628.11,13.99,27000.0,0.0,13.0,0.0,0.0,credit_card,27499.0,60.0,C4, 60 months,Credit card refinancing,25.0,Verified,752xx,628.11,10.0,11.0,158.0,61.0,4913.0,4072.0,3.0
2602,16000.0,RI,38000.0,Individual,18.95,Nov-1999,10+ years,Lead lab tech,729.0,725.0,C,RENT,68544270,w,531.36,11.99,16000.0,0.0,13.0,1.0,0.0,debt_consolidation,3452.0,30.8,C1, 36 months,Debt consolidation,23.0,Source Verified,028xx,531.36,3.0,2.0,184.0,43.7,4448.0,1756.0,8.0
2682,20000.0,CA,60000.0,Individual,34.56,Feb-1991,6 years,Project Specialist,694.0,690.0,B,MORTGAGE,68403204,w,631.26,8.49,20000.0,0.0,13.0,0.0,0.0,debt_consolidation,34012.0,61.5,B1, 36 months,Debt consolidation,25.0,Source Verified,945xx,631.18,7.0,8.0,298.0,67.0,13844.0,9489.0,3.0
3229,24000.0,CA,110000.0,Individual,17.27,Jun-1994,< 1 year,Senior Active Directory Admin,724.0,720.0,B,RENT,68574948,w,765.1,9.17,24000.0,2.0,11.0,0.0,0.0,debt_consolidation,51128.0,58.8,B2, 36 months,Debt consolidation,20.0,Source Verified,945xx,1568.46,6.0,9.0,258.0,64.6,26519.0,6605.0,2.0
7567,3600.0,NY,80000.0,Individual,13.15,Oct-2002,9 years,Secretary,689.0,685.0,A,RENT,67525263,f,109.92,6.24,3600.0,0.0,15.0,0.0,0.0,credit_card,29457.0,48.9,A2, 36 months,Credit card refinancing,22.0,Source Verified,113xx,668.56,10.0,13.0,158.0,49.8,27835.0,2760.0,4.0
6347,9000.0,VT,25000.0,Individual,28.13,Aug-2007,< 1 year,Direct service provider,669.0,665.0,D,RENT,67635856,w,315.4,15.77,9000.0,0.0,12.0,0.0,0.0,debt_consolidation,14563.0,69.7,D1, 36 months,Debt consolidation,15.0,Not Verified,051xx,1241.77,9.0,12.0,100.0,84.2,1437.0,1513.0,3.0
6161,30000.0,VA,95500.0,Individual,10.56,Dec-1998,4 years,Senior Graphic Designer,744.0,740.0,C,OWN,68323641,w,996.29,11.99,30000.0,3.0,11.0,0.0,0.0,debt_consolidation,35777.0,63.1,C1, 36 months,Debt consolidation,21.0,Source Verified,221xx,4909.59,6.0,30.0,204.0,61.8,19639.0,31130.0,0.0
3275,16000.0,FL,70000.0,Individual,26.11,May-1999,3 years,Dental Hygienist,689.0,685.0,B,RENT,68384623,w,527.47,11.48,16000.0,0.0,13.0,0.0,0.0,debt_consolidation,14790.0,66.3,B5, 36 months,Debt consolidation,21.0,Source Verified,333xx,527.47,5.0,31.0,143.0,100.4,0.0,2608.0,1.0
2900,18000.0,AZ,120000.0,Individual,19.46,Jun-1988,2 years,Area Manager,684.0,680.0,C,MORTGAGE,68364729,w,400.31,11.99,18000.0,5.0,12.0,1.0,1.0,credit_card,12040.0,75.2,C1, 60 months,Credit card refinancing,46.0,Not Verified,850xx,8281.7,7.0,1.0,330.0,79.3,2237.0,7481.0,8.0
1766,14275.0,CA,42000.0,Individual,29.2,Jun-2004,< 1 year,Deputy Court Clerk,684.0,680.0,E,RENT,68613638,w,377.33,19.89,14275.0,0.0,15.0,0.0,0.0,debt_consolidation,11058.0,75.2,E3, 60 months,Debt consolidation,22.0,Verified,941xx,377.33,11.0,4.0,119.0,88.5,759.0,1554.0,6.0
7044,5925.0,FL,50000.0,Individual,35.8,Oct-1995,,,694.0,690.0,C,OWN,68312185,w,200.9,13.44,5925.0,3.0,12.0,0.0,0.0,credit_card,11778.0,32.7,C3, 36 months,Credit card refinancing,39.0,Not Verified,321xx,818.89,3.0,17.0,242.0,40.2,17522.0,25836.0,4.0
1693,6150.0,CA,14000.0,Individual,39.71,Feb-2012,< 1 year,Cashier,694.0,690.0,D,RENT,68565575,w,220.1,17.27,6150.0,0.0,5.0,0.0,0.0,credit_card,10424.0,49.6,D3, 36 months,Credit card refinancing,11.0,Verified,931xx,220.1,3.0,9.0,46.0,49.6,10576.0,2354.0,3.0
1527,11000.0,TX,75000.0,Individual,26.32,Jan-2004,10+ years,aircraft technician,789.0,785.0,A,MORTGAGE,68545958,w,337.09,6.49,11000.0,2.0,9.0,0.0,0.0,credit_card,6146.0,21.5,A2, 36 months,Credit card refinancing,19.0,Not Verified,773xx,4876.0,4.0,67.0,143.0,34.3,8864.0,16565.0,3.0
856,18250.0,TN,36500.0,Individual,27.52,Sep-2003,1 year,Attorney,674.0,670.0,E,OWN,68386352,w,482.4,19.89,18250.0,2.0,25.0,0.0,0.0,debt_consolidation,12330.0,45.5,E3, 60 months,Debt consolidation,36.0,Source Verified,378xx,482.4,8.0,3.0,112.0,52.5,5934.0,10347.0,8.0
5346,9025.0,CA,45000.0,Individual,17.68,Apr-2007,1 year,rt technician,679.0,675.0,C,RENT,67685913,w,312.2,14.85,9025.0,0.0,9.0,0.0,0.0,debt_consolidation,5820.0,51.5,C5, 36 months,Debt consolidation,15.0,Source Verified,933xx,250.28,4.0,5.0,104.0,67.2,2462.0,2062.0,4.0
9734,6200.0,DE,42000.0,Individual,27.46,Aug-2009,3 years,Kindergarten Teacher,679.0,675.0,C,MORTGAGE,67908797,w,210.91,13.67,6200.0,0.0,7.0,0.0,0.0,other,7495.0,79.7,C4, 36 months,Other,9.0,Verified,199xx,3308.99,2.0,2.0,59.0,81.4,1376.0,13235.0,3.0
4166,15000.0,AL,41000.0,Individual,14.17,Mar-1993,2 years,Intake Department Manager,699.0,695.0,C,MORTGAGE,68424045,w,498.15,11.99,15000.0,5.0,30.0,0.0,0.0,credit_card,15411.0,79.8,C1, 36 months,Credit card refinancing,61.0,Verified,365xx,5.61,3.0,0.0,273.0,89.7,1323.0,9441.0,2.0
